,variable,filter score
0,Fraud,1.0
1,card_zip3_total_7,0.6762890141149065
2,card_zip_total_7,0.6671223918625743
3,card_zip3_total_3,0.6599997286537522
4,card_zip3_total_14,0.6589864303505577
5,card_state_total_7,0.6535504363907416
6,card_zip_total_14,0.6526341981440207
7,card_zip_total_3,0.6522716137885837
8,card_state_total_3,0.6442122993188195
9,card_state_total_14,0.6407542581868234
10,card_merch_total_7,0.6376916545744893
11,card_zip_total_30,0.6360081806757336
12,Card_Merchnum_Zip_total_7,0.6353383876949275
13,card_merch_total_3,0.6307819526700584
14,card_zip3_max_7,0.6307189453267712
15,card_zip3_total_30,0.6302945531770086
16,card_merch_total_14,0.6300372292429273
17,card_zip3_max_14,0.6292439034009839
18,Card_Merchnum_Zip_total_3,0.6289691756660243
19,Card_Merchnum_Zip_total_14,0.6273234772186108
20,card_zip_max_14,0.6262692081138236
21,card_zip_max_7,0.6232967051057995
22,card_zip_max_30,0.6229718962017047
23,Card_Merchdesc_total_7,0.6218182299881573
24,Card_Merchdesc_Zip_total_7,0.6193288866880613
25,Card_Merchnum_desc_total_7,0.6180472513504077
26,card_zip_total_60,0.6172976159770988
27,card_merch_total_30,0.6154610858354426
28,card_zip3_total_1,0.6153571076905628
29,card_zip3_max_30,0.6144375293204408
30,Card_Merchdesc_total_14,0.6141628532901777
31,Card_Merchnum_desc_total_14,0.6126485571587252
32,card_zip3_total_60,0.6116679775875444
33,Card_Merchnum_Zip_total_30,0.6109778646609711
34,card_zip_total_1,0.6107840754580824
35,Card_Merchdesc_total_3,0.6107246460798006
36,Card_Merchdesc_Zip_total_14,0.6106239149898679
37,card_state_total_1,0.6101788616433403
38,card_state_max_7,0.6098694090341383
39,Card_Merchdesc_Zip_total_3,0.6089768308565853
40,Card_Merchnum_desc_total_3,0.607313294288842
41,Card_Merchdesc_total_30,0.6067784815890019
42,card_zip3_max_3,0.6063013299668198
43,Card_Merchnum_desc_total_30,0.6062795829714264
44,card_merch_max_14,0.6054917895320202
45,card_merch_max_30,0.6049746701793597
46,card_state_total_30,0.6046225818773343
47,card_zip_max_60,0.6043333975092028
48,Card_Merchdesc_max_14,0.6039651876827747
49,card_state_max_14,0.602732723511596
50,Card_Merchnum_Zip_max_14,0.6026805948364753
51,Card_Merchdesc_Zip_total_30,0.6025117996839271
52,Card_Merchnum_Zip_max_30,0.6022284372646337
53,card_merch_max_7,0.6018178709507441
54,Card_Merchdesc_Zip_max_14,0.6012297817315188
55,Card_Merchnum_desc_max_14,0.6010951840653075
56,Card_Merchdesc_max_30,0.6007691342484941
57,Card_Merchdesc_max_7,0.6006052510421237
58,Card_Merchnum_Zip_max_7,0.599929305202421
59,Card_Merchnum_desc_max_30,0.5990143078684187
60,Card_Merchdesc_Zip_max_7,0.5987599931476799
61,card_merch_total_60,0.5985864308221045
62,Card_Merchdesc_Zip_max_30,0.5981961327492854
63,Card_Merchnum_desc_max_7,0.5973346497762727
64,card_zip_max_3,0.5969720654208358
65,card_merch_total_1,0.5960389921248991
66,Card_Merchnum_Zip_total_60,0.5950799734122041
67,Card_Merchnum_desc_total_60,0.595008000474525
68,card_state_max_3,0.5943685374687495
69,Card_Merchnum_Zip_total_1,0.5942153881573949
70,Card_Merchdesc_total_60,0.5939369893889761
71,card_merch_max_60,0.5914874690462077
72,Card_Merchdesc_Zip_total_60,0.5907445139197006
73,Card_Merchnum_Zip_max_60,0.5887628900584216
74,Card_Merchdesc_max_60,0.5863291603299976
75,Card_Merchnum_desc_max_60,0.5861225897261072
76,card_zip3_max_60,0.5846495953063056
77,Card_Merchdesc_Zip_max_60,0.5838427745385475
78,card_merch_max_3,0.5805201376660297
79,Card_Merchdesc_max_3,0.5797754142388984
